,Unnamed: 0,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
4119,4119,YJL211C,260.75,8.30160627027485,4.0,0.3653370896022369,0.0152824985927914,4.0,299.5,17.691806012954128,4.0,0.5592205646773856,0.0076502531912345,4.0,0.1754738028361461,0.4642993079844482,4.0,-0.0711014196360588,0.2043643316971675,4.0,0.072416994427479,0.5462504784648381,4.0,0.3846933302966428,0.1545200752020429,4.0
4120,4120,YJL213W,216.75,11.324751652906125,4.0,0.3987754134959435,0.0116993947470885,4.0,233.0,16.350331291240966,4.0,0.5672732117295536,0.0111735380567417,4.0,0.0319457594606973,0.1797261199008714,4.0,0.3661202631826135,0.1822848603202506,4.0,0.078695508919968,0.23260565068059,4.0,0.5064377365114132,0.1835770931863188,4.0
4121,4121,YJL215C,322.75,39.85285435197835,4.0,0.376592119535825,0.0089238582214279,4.0,374.5,48.993196806631566,4.0,0.5516923732548099,0.0097626858233993,4.0,1.0432258641731644,0.9228559188613716,4.0,0.1104708008962722,0.2448079496228105,4.0,0.924433813699726,1.0280662576213573,4.0,0.2608193786360491,0.1807198312848875,4.0
4122,4122,YJL216C,318.0,17.08800749063506,3.0,0.3213336368792689,0.0156123956978848,3.0,379.3333333333333,27.46512940681935,3.0,0.5306487514861007,0.0053354048357689,3.0,0.779214400176573,0.6448361803542066,3.0,-0.7699955003048151,0.2195942115456057,3.0,0.6898377709048509,0.6889963523902215,3.0,-0.1055134257993868,0.080675393407458,3.0
4123,4123,YJL218W,282.0,13.490737563232042,4.0,0.355479347442231,0.055215188592794,4.0,327.5,35.57620927904864,4.0,0.543753361681404,0.0132124553856613,3.0,0.5136772857618306,0.4450762297421862,4.0,-0.1354921311775747,0.7861327935444892,4.0,0.3893669778610524,0.4493196689397486,4.0,0.2238293677549157,0.11591834242608,3.0
4124,4124,YJR003C,273.0,85.06468127254695,3.0,0.3410244777511406,0.0288928003077715,3.0,308.0,116.2282237668631,3.0,0.533010864883623,0.0074986823777285,3.0,0.9246447390299068,1.349993851900137,3.0,-0.5336802378838948,0.4501703021580387,3.0,1.1456722869617646,1.653504209497181,3.0,-0.0564799362773199,0.1232005750229053,3.0
4125,4125,YJR008W,273.75,40.49176871085447,4.0,0.4083604798082951,0.0207553446484181,4.0,301.75,61.19572425150851,4.0,0.5725221389230082,0.0180666089192233,4.0,0.8526761462211242,0.48938970846408,4.0,0.5345127792593414,0.2908928596028631,4.0,0.9399083709473748,0.6574517750152167,4.0,0.5981710067993862,0.2838477341174724,4.0
4126,4126,YJR011C,274.5,46.63689526544408,4.0,0.3326723309181127,0.0777279761864048,4.0,340.75,65.5864569353562,4.0,0.5343677233401399,0.0091732985290641,3.0,0.0965521800872836,0.4824066965838406,4.0,-0.1951669269755264,0.2860148703755861,3.0,0.3787312438312626,0.0897464484343915,3.0,-0.0996540347301629,0.0610897949955419,3.0
4127,4127,YJR015W,356.25,57.696764785095766,4.0,0.4257489990349504,0.0191443232288201,4.0,432.0,84.88030788508406,4.0,0.5909355195586143,0.0070041448910932,4.0,1.1263176100662649,0.3924088447668539,4.0,0.7386656987982927,0.1423943553459943,4.0,1.0949540518531249,0.505793671787426,4.0,0.8517626965245212,0.1645205711982363,4.0
4128,4128,YJR018W,197.25,51.47410352141486,4.0,0.3501319884755811,0.0263811735186147,4.0,222.5,60.72067193304106,4.0,0.5423275175711509,0.0044399802587053,3.0,-0.9082862332944612,0.4910893709050627,4.0,-0.4295560607205936,0.3670326091425165,4.0,-1.0143652090702049,0.4450524256736567,4.0,-0.1364037084386383,0.4782411850301826,4.0
