,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
1329,IDH1,147.41666666666666,24.130170979815944,12.0,0.3843065684626125,0.057457588536525696,12.0,148.66666666666666,34.97618237219913,12.0,0.49473258409098425,0.07350465729715831,12.0,-1.121023080399376,0.4442898307702041,12.0,-0.44038951751262745,0.43620862922399173,11.0,-1.2572355802436337,0.5166096939664762,12.0,-0.7337403824532046,0.9099075780960748,12.0
1330,IDH2,227.33333333333334,52.38551731387621,12.0,0.4117229745008086,0.03906227491097364,11.0,295.72727272727275,43.85223120684034,11.0,0.5254855154317883,0.059692187237467595,12.0,-0.6540332147212773,0.5438875718418881,12.0,-0.31605848397522607,0.6454021747037528,11.0,-0.6448731142453668,0.5341548279518045,12.0,-0.2572101042744401,0.6533042318332917,12.0
1331,IDP1,239.25,60.530393782203106,8.0,0.39022287981537096,0.0678483578657923,8.0,265.75,63.217877218394484,8.0,0.5294111586861427,0.031048152279495263,7.0,0.5268264121882579,0.9959646107787122,8.0,0.22375280854666466,0.6411678791544693,7.0,0.5148167369088869,0.9796065466385759,8.0,0.1851488111600153,0.5389919103659216,7.0
1332,IDP2,210.33333333333334,19.33563204725066,6.0,0.41896687356783524,0.028766896900879524,7.0,236.66666666666666,28.835163718395407,6.0,0.507692800055651,0.022366399415144414,7.0,0.025059454910867446,0.40744089902527986,6.0,-0.3741953153712984,0.6303202798055867,7.0,0.06980498000988015,0.47967645072410553,6.0,-0.4795770147049641,0.7773779328778222,7.0
1333,IDP3,282.125,92.31999860732854,8.0,0.4392370785965233,0.04180071641868495,7.0,352.625,96.76324198785406,8.0,0.528546685212806,0.06096977233690021,7.0,0.3113446759527929,0.9407573400174245,7.0,-0.08360325909153553,0.44401577697865213,7.0,0.1689236563532024,0.7817655905633342,8.0,-0.05572658928200859,0.7261928969181213,7.0
1334,IDS2,213.5,41.829017041602434,4.0,0.4155051004427619,0.028000904901227728,4.0,227.0,42.856349199000455,4.0,0.5388091893624836,0.020863185053312888,4.0,0.00550630769820204,0.7716612155529969,4.0,-0.6660111748271218,0.5533292129959292,4.0,0.143342760916887,0.7317267480612302,4.0,-0.6594055170687739,0.5156225131322557,4.0
1335,IES1,222.25,95.94455243971458,8.0,0.48349797181154897,0.04031997167190009,7.0,231.25,107.75203014328778,8.0,0.6036300833945584,0.01649844630739781,7.0,0.16703025609547037,1.5708799051922928,8.0,0.987251647750069,0.18960074892140108,7.0,0.15363544528263648,1.588322125807127,8.0,0.9318933254098086,0.2533563416991344,7.0
1336,IES2,186.25,20.293863828529773,12.0,0.47773902256537665,0.033994293305126475,11.0,201.16666666666666,24.47200007924951,12.0,0.5743462169912164,0.037241262027770505,12.0,-0.43222675789254983,0.3645599560128726,12.0,0.8413485792359391,0.43408456946841867,11.0,-0.401451984186083,0.35430364258317104,12.0,0.6825592546314292,0.43062093153965203,12.0
1337,IES3,181.1818181818182,31.454151337520397,11.0,0.4603902896755096,0.0481132825921208,11.0,199.0,42.49235225308196,11.0,0.573340272562886,0.03590042705104755,10.0,-0.5234036294684765,0.616686078253738,11.0,0.5680374801630749,0.5718006008459734,11.0,-0.45465123621617154,0.6432582288009466,11.0,0.725643401299172,0.33237223177792324,10.0
1338,IES4,184.27272727272728,35.52208020116758,11.0,0.3964708354142816,0.04951171954165443,11.0,196.0909090909091,36.33855953516745,11.0,0.523195414194835,0.021855477587266445,10.0,-0.47919833005337015,0.6286556680171228,11.0,-0.4939776937549002,0.832321402416624,11.0,-0.501938206795362,0.5225032226214804,11.0,-0.46345990447098395,0.6646291843306807,11.0
1339,IES5,170.3,37.78021233985384,10.0,0.46591496752068395,0.06044380336230924,9.0,187.1,37.704847905217115,10.0,0.5803112279599794,0.03910988965875921,9.0,-0.7126350765063405,0.6742864276385363,10.0,0.7338228045415697,0.7059899491471804,9.0,-0.612761855487352,0.5630845392077377,10.0,0.8251386377802654,0.40237916137353885,9.0
1340,IES6,100.75,24.691275603117205,12.0,0.31969868039158295,0.07538312612502529,12.0,119.91666666666667,33.730100755403875,12.0,0.4575811646246983,0.07879230491430002,12.0,-2.000579222478168,0.4169801449719735,12.0,-1.4719738825747595,0.8233854981018521,12.0,-1.855526110283985,0.45594035928435855,12.0,-1.2619189069696712,1.058184989113136,12.0
1341,IFA38,221.36363636363637,33.356476814174265,11.0,0.434496174237026,0.04897616896861057,10.0,241.0,46.66047577982891,11.0,0.5399461811891976,0.03773164131772813,11.0,0.20600639776737897,0.6474263228016157,11.0,0.1924993238371397,0.6157522702239592,10.0,0.23616750218292532,0.7876714493392003,11.0,0.24777132707681382,0.278123638428213,10.0
1342,IFM1,186.0,30.603030153000446,12.0,0.5656607281525547,0.032662585796872284,11.0,172.58333333333334,39.209132362321675,12.0,0.587123627396934,0.020155217935101746,12.0,-0.4974834082694805,0.6343308303431373,12.0,2.5799217820138556,0.474693467213245,11.0,-1.06181817579934,0.6560771410308239,12.0,1.0728815372393357,0.6315298345499033,12.0
1343,IKI3,128.14285714285714,21.698145630664474,7.0,0.4166271516424591,0.06091360860954934,10.0,132.57142857142858,19.415261547359613,7.0,0.5435719448093534,0.02169837629067485,9.0,-1.510590581763243,0.4219533334410277,7.0,-0.30089290474938707,0.5809268086706855,7.0,-1.463814369164867,0.3234247632104257,7.0,-0.1496612506215332,0.3306001237592885,7.0
1344,IKS1,289.14285714285717,97.13466351999608,7.0,0.3750825564170468,0.027891458022453353,6.0,386.85714285714283,106.36482590817413,7.0,0.4126380196418971,0.092105925032397,7.0,-0.40103485476186923,0.49199589452776976,7.0,-1.3681682475919559,0.334784196987825,6.0,-0.28631230993718754,0.41575384958226924,7.0,-2.431566773598196,0.6492777326914584,7.0
1345,ILM1,168.375,57.743119565389414,8.0,0.3972576676347641,0.045872769272252305,8.0,216.75,68.13589362443264,8.0,0.5320002537469898,0.04581411442571707,7.0,-1.2727613601916874,0.1142582477173716,6.0,-0.8808895301438249,0.8663141047632399,8.0,-1.2866789940193029,0.1696466464421715,6.0,-0.6744767312733395,1.2714859418120363,8.0
1346,ILV1,80.33333333333333,45.83435260574625,12.0,0.3047964345036857,0.052180167238447525,12.0,95.08333333333333,59.87328791757311,12.0,0.4606323405977699,0.06337088233362882,12.0,-2.294495377055967,0.7646163947992233,12.0,-1.902590282605949,0.5018983112378089,12.0,-2.0947918205177296,0.7896104731866666,12.0,-1.3528701156196457,0.6898748872869128,12.0
1347,ILV6,247.0,31.336879231984796,9.0,0.4175504150739679,0.052845952906467535,9.0,265.8888888888889,25.4334643945946,9.0,0.5562215628146162,0.05685462867817069,6.0,0.6392176116686137,0.4865684321321055,9.0,-0.4363856799725003,1.0182072881230033,10.0,0.488025769677483,0.6596478634180425,10.0,0.43272716550324253,0.4790770153821029,6.0
1348,IMD3,285.125,64.02329375201765,8.0,0.47202481322598666,0.036705759667707116,8.0,357.125,63.291699974912085,8.0,0.5600813434608379,0.055403548084930095,8.0,0.15762261182580006,0.5933293339291477,8.0,0.36239299376021245,0.4994103163245094,8.0,0.1096388810589094,0.5414310846418557,8.0,0.47418014810889225,0.3622655201271728,7.0
1349,IMD4,237.0,40.378762294607846,10.0,0.4222441974464568,0.0615234066187362,11.0,262.7,42.27173996892013,10.0,0.5610572560030489,0.02507782168377834,11.0,0.4574033816489586,0.6292899020552661,10.0,-0.04799681938846099,0.5812317066597033,11.0,0.5401377035718217,0.6728258931823574,10.0,0.4361415921191583,0.34076694442379935,11.0
1350,IME1,269.0,28.2724836781867,4.0,0.4481247032178073,0.04640140878796478,4.0,331.0,33.71448748930742,4.0,0.5333428327801202,0.03747492029196556,4.0,1.3422970789759232,0.3732035880369738,4.0,0.41762875465754357,0.7557201103137368,4.0,1.4547313046740018,0.3719327842841133,4.0,0.7360783397575639,0.5717439379143566,4.0
1351,IME2,223.33333333333334,64.67728747521433,12.0,0.4463079083114885,0.05155200950515131,11.0,240.91666666666666,70.2546774027872,12.0,0.5609641966627342,0.04098410523276341,11.0,0.23953781833544133,1.106981601596964,12.0,0.47637414554093604,0.3928365973936636,10.0,0.24910483780869241,1.0830175221093767,12.0,0.45436251428389146,0.40537475575765747,11.0
1352,IMG1,308.2,55.81278228745336,10.0,0.4310402109125631,0.08239563595571392,10.0,372.2,55.0147454981137,10.0,0.5351481435155504,0.05985324510710852,10.0,0.6163137156338058,0.3785269402937841,9.0,0.1338694941561134,0.8706435407592168,10.0,0.3096564278187435,0.32484181141530566,7.0,0.03592458860853074,0.8751398975858451,10.0
1353,IMG2,194.4,63.386293646357196,10.0,0.5357764258117105,0.060595173200550446,10.0,224.2,56.6368549032636,10.0,0.5662760149839994,0.046676444393662274,10.0,-1.378030103418109,0.3984324886766187,4.0,2.0092244911376405,0.4323572169125979,9.0,-1.3616821073550427,0.46068926298434504,10.0,0.538642815702938,0.6205987401177929,10.0
1354,IMH1,279.875,60.458811244870304,8.0,0.43987213320935964,0.02573609100461027,10.0,338.6,52.37938525794284,10.0,0.5329779988826387,0.04986623725616717,11.0,0.12172874938556744,0.5016439728609687,9.0,-0.033785882235109914,0.5830160284099354,11.0,0.024422527381100113,0.49321510011118064,10.0,0.016542735166898522,0.26584227513689945,8.0
1355,IML2,254.27272727272728,32.74168874414058,11.0,0.4298324073886827,0.07808154012268177,10.0,282.45454545454544,38.544425372195235,11.0,0.5456038845434255,0.0540632708003386,11.0,0.7617981875047146,0.5909669820154195,11.0,0.16014256079948816,0.8867052832353279,11.0,0.8688108478865106,0.610177369097035,11.0,0.26773802031483107,0.6565243627047633,11.0
1356,IML3,252.5,42.426406871192846,8.0,0.4775437060940159,0.026456803364244132,7.0,289.125,46.39100128257634,8.0,0.5503182810095995,0.04445630551439512,8.0,0.7605491938831579,0.7520283369167522,8.0,0.4411971898420836,0.5290456787914515,8.0,0.7147903955397803,0.8283230480877873,8.0,0.3689095635101818,0.2603333741727986,8.0
1357,IMP1,175.72727272727272,25.08422177023201,11.0,0.5300091276291748,0.049709741102905894,12.0,160.8181818181818,31.38094384118547,11.0,0.5720534323108589,0.04851533971113393,12.0,-0.6454912988717342,0.459365300899366,11.0,1.7585270972614346,0.8684115904632785,12.0,-1.1026229770385125,0.5055259536017706,11.0,0.6471866529290066,0.5893691033141111,12.0
1358,IMP2,221.72727272727272,44.94906207940475,11.0,0.37108108493740766,0.04983760788669937,10.0,269.3636363636364,48.73247936904653,11.0,0.5149423136791771,0.023888347059644578,7.0,0.1675474444448136,0.8453088975698893,11.0,-0.17691476656809055,0.33927505726805585,9.0,0.3319452422270274,0.7939844911705884,11.0,0.1521123060810423,0.19300166826215936,7.0
1359,IMP2',,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1360,INH1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
