,Unnamed: 0,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,area.24_Z_mean,area.24_Z_std,area.24_Z_count,mean_intensity.24_Z_mean,mean_intensity.24_Z_std,mean_intensity.24_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count,corrected_area.24_Z_mean,corrected_area.24_Z_std,corrected_area.24_Z_count,corrected_mean_intensity.24_Z_mean,corrected_mean_intensity.24_Z_std,corrected_mean_intensity.24_Z_count
3866,3866,YFR018C,221.75,116.67440450530128,4.0,0.4875150650581236,0.0167983466009472,3.0,221.75,116.67440450530128,4.0,0.4875150650581236,0.0167983466009472,3.0,0.2219635606429628,2.1325975946289475,4.0,0.5547366015546995,0.2122765148645308,3.0,0.2219635606429628,2.1325975946289475,4.0,0.5547366015546995,0.2122765148645308,3.0,-1.3877787807814457e-17,1.0,4.0,-1.249000902703301e-16,1.0,4.0,-1.3877787807814457e-17,1.0,4.0,-1.249000902703301e-16,1.0,4.0,-2.0816681711721685e-17,1.0,4.0,4.163336342344337e-17,1.0,4.0,-2.0816681711721685e-17,1.0,4.0,4.163336342344337e-17,1.0,4.0
3867,3867,YFR020W,247.75,54.322340401225965,4.0,0.4888036374128216,0.0231623859987181,4.0,247.75,54.322340401225965,4.0,0.4888036374128216,0.0231623859987181,4.0,0.6983896126839437,0.9461132556753088,4.0,0.6107886208392771,0.3059357943479924,4.0,0.6983896126839437,0.9461132556753088,4.0,0.6107886208392771,0.3059357943479924,4.0,-5.551115123125783e-17,1.0,4.0,1.1934897514720433e-15,1.0,4.0,-5.551115123125783e-17,1.0,4.0,1.1934897514720433e-15,1.0,4.0,0.0,1.0,4.0,1.3877787807814454e-16,1.0,4.0,0.0,1.0,4.0,1.3877787807814454e-16,1.0,4.0
3868,3868,YFR024C,255.33333333333331,91.13908784562928,3.0,0.4841000822238879,0.0510790589844938,3.0,255.33333333333331,91.13908784562928,3.0,0.4841000822238879,0.0510790589844938,3.0,-0.9283166946011824,0.6619704035125534,3.0,,,0.0,-0.9283166946011824,0.6619704035125534,3.0,,,0.0,1.0177044392397268e-16,1.0,3.0,3.7007434154171876e-17,1.0,3.0,1.0177044392397268e-16,1.0,3.0,3.7007434154171876e-17,1.0,3.0,-1.295260195396016e-16,1.0,3.0,0.0,1.0,3.0,-1.295260195396016e-16,1.0,3.0,0.0,1.0,3.0
3869,3869,YFR035C,178.33333333333334,4.725815626252605,3.0,0.4194925782732703,0.0115548756796193,3.0,178.33333333333334,4.725815626252605,3.0,0.4194925782732703,0.0115548756796193,3.0,-0.631797889289564,0.0869031507702837,3.0,-0.6995874640626952,0.2001539138718363,3.0,-0.631797889289564,0.0869031507702837,3.0,-0.6995874640626952,0.2001539138718363,3.0,2.035408878479453e-15,1.0,3.0,3.173387478720239e-15,1.0,3.0,2.035408878479453e-15,1.0,3.0,3.173387478720239e-15,1.0,3.0,4.810966440042346e-16,1.0,3.0,1.5728159515523052e-16,1.0,3.0,4.810966440042346e-16,1.0,3.0,1.5728159515523052e-16,1.0,3.0
3870,3870,YFR039C,244.5,62.92058486695751,4.0,0.480396912758433,0.0191983772161368,4.0,244.5,62.92058486695751,4.0,0.480396912758433,0.0191983772161368,4.0,-1.0271843091968391,0.4208842731805381,4.0,0.2915788558373166,0.2245909316398515,4.0,-1.0271843091968391,0.4208842731805381,4.0,0.2915788558373166,0.2245909316398515,4.0,5.551115123125783e-17,1.0,4.0,-7.2164496600635185e-16,1.0,4.0,5.551115123125783e-17,1.0,4.0,-7.2164496600635185e-16,1.0,4.0,2.775557561562892e-17,1.0,4.0,2.775557561562892e-17,1.0,4.0,2.775557561562892e-17,1.0,4.0,2.775557561562892e-17,1.0,4.0
3871,3871,YFR045W,163.5,93.43982020530648,4.0,0.4020212882166581,0.0666134374038286,4.0,163.5,93.43982020530648,4.0,0.4020212882166581,0.0666134374038286,4.0,-0.9045684552700912,1.7182673691586612,4.0,-1.002225690745564,1.1538800228157975,4.0,-0.9045684552700912,1.7182673691586612,4.0,-1.002225690745564,1.1538800228157975,4.0,0.0,1.0,4.0,-8.326672684688674e-16,1.0,4.0,0.0,1.0,4.0,-8.326672684688674e-16,1.0,4.0,0.0,1.0,4.0,-5.551115123125783e-17,0.9999999999999998,4.0,0.0,1.0,4.0,-5.551115123125783e-17,0.9999999999999998,4.0
3872,3872,YFR054C,214.25,20.287516687197904,4.0,0.4991865758163794,0.0066248815942881,4.0,214.25,20.287516687197904,4.0,0.4991865758163794,0.0066248815942881,4.0,0.0286746609217121,0.3730676905015523,4.0,0.6808744260189545,0.1147564038592882,4.0,0.0286746609217121,0.3730676905015523,4.0,0.6808744260189545,0.1147564038592882,4.0,-1.3877787807814457e-17,1.0,4.0,-4.163336342344337e-15,1.0,4.0,-1.3877787807814457e-17,1.0,4.0,-4.163336342344337e-15,1.0,4.0,4.163336342344337e-17,1.0,4.0,5.551115123125783e-17,1.0,4.0,4.163336342344337e-17,1.0,4.0,5.551115123125783e-17,1.0,4.0
3873,3873,YFR056C,180.66666666666663,6.506407098647715,3.0,0.4638726061290745,0.0101027020482748,3.0,180.66666666666663,6.506407098647715,3.0,0.4638726061290745,0.0101027020482748,3.0,-0.5888901598094812,0.119646495289743,3.0,0.0691647509652864,0.1749993173193397,3.0,-0.5888901598094812,0.119646495289743,3.0,0.0691647509652864,0.1749993173193397,3.0,-1.4432899320127037e-15,1.0,3.0,3.700743415417189e-15,1.0,3.0,-1.4432899320127037e-15,1.0,3.0,3.700743415417189e-15,1.0,3.0,-6.661338147750939e-16,1.0,3.0,0.0,1.0,3.0,-6.661338147750939e-16,1.0,3.0,0.0,1.0,3.0
3874,3874,YFR057W,186.0,3.605551275463989,3.0,0.4355652202755366,0.0139561003743301,3.0,186.0,3.605551275463989,3.0,0.4355652202755366,0.0139561003743301,3.0,-0.4152798674637291,0.0696029528707651,3.0,-0.2746609854050617,0.3401815156610963,3.0,-0.4152798674637291,0.0696029528707651,3.0,-0.2746609854050617,0.3401815156610963,3.0,0.0,1.0,3.0,-1.3507713466272737e-15,1.0,3.0,0.0,1.0,3.0,-1.3507713466272737e-15,1.0,3.0,3.7007434154171876e-17,1.0,3.0,-2.312964634635743e-18,1.0,3.0,3.7007434154171876e-17,1.0,3.0,-2.312964634635743e-18,1.0,3.0
3875,3875,YGK3,242.0,7.937253933193772,3.0,,,0.0,242.0,7.937253933193772,3.0,,,0.0,0.5389701579526982,0.1459583762486581,3.0,,,0.0,0.5389701579526982,0.1459583762486581,3.0,,,0.0,-3.7007434154171876e-17,1.0,3.0,3.3306690738754696e-16,1.0,3.0,-3.7007434154171876e-17,1.0,3.0,3.3306690738754696e-16,1.0,3.0,-2.590520390792032e-16,1.0,3.0,7.401486830834377e-17,1.0,3.0,-2.590520390792032e-16,1.0,3.0,7.401486830834377e-17,1.0,3.0
