,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count
2568,RPL34A,275.25,49.229902836927614,4.0,0.46149570477307866,0.019472251608111217,4.0,275.25,49.229902836927614,4.0,0.46149570477307866,0.019472251608111217,4.0,3.2959746043559335e-17,1.0,4.0,2.831068712794149e-15,1.0,4.0,3.2959746043559335e-17,1.0,4.0,2.831068712794149e-15,1.0,4.0
2569,RPL34B,65.25,26.221810260417442,4.0,0.36905900670934005,0.02795412061365318,4.0,63.37083123978179,22.948594125314568,4.0,0.38249068253603147,0.01825806482687547,4.0,0.0,0.9999999999999998,4.0,-1.5265566588595902e-15,1.0,4.0,1.942890293094024e-16,0.9999999999999999,4.0,-2.7755575615628914e-17,1.0,4.0
2570,RPL35A,249.0,32.99494910841153,4.0,0.48973537502846054,0.018253566747318692,4.0,249.0,32.99494910841153,4.0,0.48973537502846054,0.018253566747318692,4.0,5.551115123125783e-17,0.9999999999999998,4.0,-3.0253577421035516e-15,0.9999999999999999,4.0,5.551115123125783e-17,0.9999999999999998,4.0,-3.0253577421035516e-15,0.9999999999999999,4.0
2571,RPL35B,113.75,40.95017297480765,4.0,0.42622618158085285,0.02881072002916313,4.0,113.75,40.95017297480765,4.0,0.42622618158085285,0.02881072002916313,4.0,0.0,1.0,4.0,0.0,0.9999999999999999,4.0,0.0,1.0,4.0,0.0,0.9999999999999999,4.0
2572,RPL36A,154.75,23.837994882120434,4.0,0.45785522859363503,0.015096270414975486,3.0,154.75,23.837994882120434,4.0,0.45785522859363503,0.015096270414975486,3.0,1.3877787807814457e-17,1.0,4.0,-3.3306690738754696e-16,1.0,4.0,1.3877787807814457e-17,1.0,4.0,-3.3306690738754696e-16,1.0,4.0
2573,RPL37A,143.5,34.307433596816885,4.0,0.3667880531413573,0.04483659553341921,4.0,95.63233719293817,17.045443533285685,4.0,0.38121855610606503,0.045203316090556674,4.0,3.469446951953614e-17,0.9999999999999999,4.0,-6.149594722337781e-16,1.0,4.0,-1.942890293094024e-16,0.9999999999999998,4.0,-6.036837696399289e-16,1.0,4.0
2574,RPL37B,149.0,54.87648468541486,8.0,0.43133109946488046,0.026237955021527117,8.0,150.6533281331258,53.30089168421512,8.0,0.43458621096206396,0.026364875289461784,8.0,0.0,1.0,8.0,-2.400857290751901e-15,1.0,8.0,-1.942890293094024e-16,1.0,8.0,-2.7755575615628914e-16,1.0,8.0
2575,RPL38,203.5,16.13484841370793,4.0,0.4649028599033338,0.011926060738461164,4.0,200.09660231476764,10.7919008532077,4.0,0.48461049473101814,0.013193797430508218,4.0,-6.938893903907228e-18,1.0,4.0,1.1934897514720433e-15,1.0,4.0,-3.469446951953614e-18,0.9999999999999999,4.0,2.7755575615628914e-17,0.9999999999999999,4.0
2576,RPL39,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2577,RPL40A,,,0.0,0.43444044704045065,0.0423610414099046,3.0,221.71784148535843,35.94032972669264,3.0,0.43830682920779734,0.036937787723821634,3.0,1.4802973661668753e-16,1.0,3.0,-1.3322676295501878e-15,1.0,3.0,0.0,1.0,3.0,-4.810966440042345e-16,1.0,3.0
2578,RPL40B,235.25,27.861263431510064,4.0,0.4453161677960091,0.015601600534358794,4.0,208.90224670141873,23.254225565996204,4.0,0.4609857443606199,0.019617022531826477,4.0,-5.551115123125783e-17,1.0,4.0,5.551115123125783e-17,1.0,4.0,-8.881784197001252e-16,1.0,4.0,7.355227538141662e-16,1.0,4.0
2579,RPL41A,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2580,RPL41B,276.0,47.085029467974216,3.0,0.42553094746859627,0.032839265113252886,3.0,267.31746347294296,20.95987727065279,3.0,0.44620977007661516,0.033573125655307,3.0,0.0,0.9999999999999998,3.0,-1.1102230246251565e-15,1.0,3.0,-4.070817756958907e-16,1.0,3.0,-5.181040781584064e-16,1.0,3.0
2581,RPL42A,372.25,83.47604446785918,4.0,0.33217499268710843,0.07841170989615762,4.0,239.6725037337821,23.957716213318026,4.0,0.34098981058437317,0.06954572349151539,4.0,2.7755575615628914e-17,1.0,4.0,1.942890293094024e-16,1.0,4.0,2.7755575615628914e-16,1.0,4.0,4.163336342344337e-16,1.0,4.0
2582,RPL43A,120.75,28.894924583162812,4.0,0.4966120143572788,0.028043763828798633,4.0,119.6995360782041,29.981433008563116,4.0,0.49886573703968345,0.025662810315407025,4.0,2.7755575615628914e-17,1.0,4.0,1.4432899320127035e-15,0.9999999999999999,4.0,4.163336342344337e-16,0.9999999999999999,4.0,-2.7755575615628914e-17,0.9999999999999998,4.0
2583,RPL43B,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2584,RPL4A,185.75,23.34345018772218,4.0,0.46831845744899925,0.009746813667446314,4.0,185.07361021149228,22.8273236988014,4.0,0.48523102066900725,0.005925173534625996,4.0,0.0,1.0,4.0,1.429412144204889e-15,0.9999999999999999,4.0,-6.38378239159465e-16,1.0,4.0,-7.022160630754115e-15,0.9999999999999999,4.0
