,gene,plate,row,column,area.24,mean_intensity.24,area.48,mean_intensity.48
370,ScBTX020,0,15,10,2600.0,0.3586005756409064,2703.0,0.16847773987358466
371,ScBTX020,0,15,11,2762.0,0.36997920434258696,2866.0,0.16868945512292816
372,ScBTX021,0,15,12,2547.0,0.48870332745989903,2652.0,0.701165614963598
373,ScBTX021,0,15,13,2411.0,0.49575243414613485,2494.0,0.6990531571758332
374,ScBTX020,0,15,14,2642.0,0.3531605380950444,2746.0,0.1917222484617771
375,ScBTX020,0,15,15,2641.0,0.3695080826507481,2746.0,0.16230571832674467
376,ScBTX021,0,15,16,2298.0,0.4943023711930025,2367.0,0.6989441315946602
377,ScBTX021,0,15,17,2224.0,0.5039929932501014,2336.0,0.6959104144106537
378,ScBTX020,0,15,18,2435.0,0.3773368546412077,2551.0,0.17081108539939344
379,ScBTX020,0,15,19,2396.0,0.3805332213628373,2520.0,0.17390298909818447
380,ScBTX021,0,15,20,2100.0,0.49440309928480397,2176.0,0.695673491925506
381,ScBTX021,0,15,21,1969.0,0.48687249502515273,2041.0,0.6953615339380965
382,ScBTX020,0,15,22,2200.0,0.38251974577377684,2326.0,0.1828449514449038
383,ScBTX020,0,15,23,2365.0,0.38361077587364084,2494.0,0.19629640385747787
